ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN,FILING_DATE,PERIOD_OF_REPORT,DATE_OF_ORIG_SUB,NO_SECURITIES_OWNED,NOT_SUBJECT_SEC16,FORM3_HOLDINGS_REPORTED,FORM4_TRANS_REPORTED,DOCUMENT_TYPE,ISSUERCIK,ISSUERNAME,ISSUERTRADINGSYMBOL,REMARKS,cik,ticker,sector,industry,filed_date
0001453104-22-000015,2049210,Common Stock,,7922.0,,,I,,Brother,F7,31-AUG-2022,29-AUG-2022,,,0,,,4,1018164,WILLIS LEASE FINANCE CORP,WLFC,,0001018164,WLFC,,,2022-08-31
0001453104-22-000015,2049211,Common Stock,,5337.0,,,I,,Son,F8,31-AUG-2022,29-AUG-2022,,,0,,,4,1018164,WILLIS LEASE FINANCE CORP,WLFC,,0001018164,WLFC,,,2022-08-31
0001453104-22-000015,2049212,Common Stock,,2654.0,,,I,,Austin C. Willis 2019 Irrevocable Trust,F9,31-AUG-2022,29-AUG-2022,,,0,,,4,1018164,WILLIS LEASE FINANCE CORP,WLFC,,0001018164,WLFC,,,2022-08-31
0001453104-22-000015,2049213,Common Stock,,8692.0,,,I,,CFW V 2016 Trust,F10,31-AUG-2022,29-AUG-2022,,,0,,,4,1018164,WILLIS LEASE FINANCE CORP,WLFC,,0001018164,WLFC,,,2022-08-31
0001453104-22-000015,2049214,Common Stock,,246715.0,,,I,,2019 Willis Family Trust,"F12, F11",31-AUG-2022,29-AUG-2022,,,0,,,4,1018164,WILLIS LEASE FINANCE CORP,WLFC,,0001018164,WLFC,,,2022-08-31
0001453104-22-000015,2049215,Common Stock,,405488.0,,,I,,CFW Partners,F13,31-AUG-2022,29-AUG-2022,,,0,,,4,1018164,WILLIS LEASE FINANCE CORP,WLFC,,0001018164,WLFC,,,2022-08-31
0001209191-22-048174,2049280,"Woodward, Inc. Common Stock",,1231.0,F3,,I,,Shares held indirectly in the Reporting Person's spouse's IRA,,31-AUG-2022,30-AUG-2022,,,0,,,4,108312,"Woodward, Inc.",WWD,,0000108312,WWD,,,2022-08-31
0001567619-22-016875,2049288,Class A Common Stock,,54598.0,,,I,F7,,,31-AUG-2022,29-AUG-2022,,,0,,,4,928658,"COVENANT LOGISTICS GROUP, INC.",CVLG,,0000928658,CVLG,,,2022-08-31
0001567619-22-016875,2049287,Class A Common Stock,,161887.0,F1,,D,,401(k),,31-AUG-2022,29-AUG-2022,,,0,,,4,928658,"COVENANT LOGISTICS GROUP, INC.",CVLG,,0000928658,CVLG,,,2022-08-31
0001831631-22-000246,2049226,Class A Common Stock,,26801.0,,,D,,,,31-AUG-2022,06-AUG-2022,,0.0,,,,3,1831631,"loanDepot, Inc.",LDI,,0001831631,LDI,,,2022-08-31
0001716837-22-000101,2049180,Class A Common Stock,,100000.0,,,I,,The Anthony J. Wood 2022 Annuity Trust V-B,,31-AUG-2022,29-AUG-2022,,,,,,4,1428439,"ROKU, INC",ROKU,,0001428439,ROKU,,,2022-08-31
0001716837-22-000101,2049179,Class A Common Stock,,48700.0,,,I,,The Anthony J. Wood 2022 Annuity Trust V,,31-AUG-2022,29-AUG-2022,,,,,,4,1428439,"ROKU, INC",ROKU,,0001428439,ROKU,,,2022-08-31
0001716837-22-000101,2049178,Class A Common Stock,,36000.0,,,I,,Wood 2020 Irrevocable Trust,,31-AUG-2022,29-AUG-2022,,,,,,4,1428439,"ROKU, INC",ROKU,,0001428439,ROKU,,,2022-08-31
0001014108-22-000135,2049153,Registered Shares,,6927.0,F1,,D,,By trust,,31-AUG-2022,31-AUG-2022,,,0,,,4,1121788,GARMIN LTD,GRMN,,0001121788,GRMN,,,2022-08-31
0001014108-22-000135,2049156,Registered Shares,,8872799.0,,,I,,By GRATs,F4,31-AUG-2022,31-AUG-2022,,,0,,,4,1121788,GARMIN LTD,GRMN,,0001121788,GRMN,,,2022-08-31
0001014108-22-000135,2049158,Registered Shares,,300000.0,,,I,,,,31-AUG-2022,31-AUG-2022,,,0,,,4,1121788,GARMIN LTD,GRMN,,0001121788,GRMN,,,2022-08-31
0001014108-22-000135,2049154,Registered Shares,,30000.0,,,I,,By trust,F2,31-AUG-2022,31-AUG-2022,,,0,,,4,1121788,GARMIN LTD,GRMN,,0001121788,GRMN,,,2022-08-31
0001014108-22-000135,2049155,Registered Shares,,22747.0,,,I,,By CLATS,F3,31-AUG-2022,31-AUG-2022,,,0,,,4,1121788,GARMIN LTD,GRMN,,0001121788,GRMN,,,2022-08-31
0001014108-22-000135,2049157,Registered Shares,,8870400.0,,,I,,By GRATs,F7,31-AUG-2022,31-AUG-2022,,,0,,,4,1121788,GARMIN LTD,GRMN,,0001121788,GRMN,,,2022-08-31
0001437749-22-021581,2049223,"Common Stock, par value $0.01",,2319.0,,,D,,,,31-AUG-2022,29-AUG-2022,,,,,,4,1632127,"Cable One, Inc.",CABO,,0001632127,CABO,,,2022-08-31
0001209191-22-048155,2049237,Common Stock,,1200000.0,F4,,I,,Zelter APO Series LLC,,31-AUG-2022,31-AUG-2022,,,0,,,4,1858681,"Apollo Global Management, Inc.",APO,"Co-President of Apollo Asset Management, Inc.",0001858681,APOS,,,2022-08-31
0001209191-22-048155,2049236,Common Stock,,1206159.0,F3,,I,,The James C. Zelter 2021 GRAT No. 1,,31-AUG-2022,31-AUG-2022,,,0,,,4,1858681,"Apollo Global Management, Inc.",APO,"Co-President of Apollo Asset Management, Inc.",0001858681,APOS,,,2022-08-31
0001079973-22-001051,2049285,Common Stock,,1425374.0,,,I,,AGO IRA,,31-AUG-2022,25-AUG-2022,,,0,,,4,875729,BION ENVIRONMENTAL TECHNOLOGIES INC,BNET,,0000875729,BNET,,,2022-08-31
0001079973-22-001051,2049286,Common Stock,,120263.0,,,I,,Jointly with Wife,,31-AUG-2022,25-AUG-2022,,,0,,,4,875729,BION ENVIRONMENTAL TECHNOLOGIES INC,BNET,,0000875729,BNET,,,2022-08-31
0001209191-22-048146,2049227,Common Stock,,1286.0,,,I,,401(k),F3,31-AUG-2022,31-AUG-2022,,,0,,,4,1338749,POTLATCHDELTIC CORP,PCH,,0001338749,PCH,,,2022-08-31
0001438133-22-000211,2049245,Common Stock,,2645.0,,,I,,Leigh A. Vosseller Trust,F2,31-AUG-2022,29-AUG-2022,,,0,,,4,1438133,TANDEM DIABETES CARE INC,TNDM,,0001438133,TNDM,,,2022-08-31
0001775195-22-000002,2049296,Common Stock,,87000.0,,,I,,By BLW Trust,F8,31-AUG-2022,29-AUG-2022,,,0,,,4,1163668,"SOUTH PLAINS FINANCIAL, INC.",SPFI,,0001163668,SPFI,,,2022-08-31
0001775195-22-000002,2049297,Common Stock,,87000.0,,,I,,By WHW Trust,F9,31-AUG-2022,29-AUG-2022,,,0,,,4,1163668,"SOUTH PLAINS FINANCIAL, INC.",SPFI,,0001163668,SPFI,,,2022-08-31
0001775195-22-000002,2049298,Common Stock,,87000.0,,,I,,By SSG Trust,F10,31-AUG-2022,29-AUG-2022,,,0,,,4,1163668,"SOUTH PLAINS FINANCIAL, INC.",SPFI,,0001163668,SPFI,,,2022-08-31
0001775195-22-000002,2049294,Common Stock,,435000.0,,,I,,By CCG Trust,F6,31-AUG-2022,29-AUG-2022,,,0,,,4,1163668,"SOUTH PLAINS FINANCIAL, INC.",SPFI,,0001163668,SPFI,,,2022-08-31
0001775195-22-000002,2049293,Common Stock,,45360.0,,,I,,By Spouse,F5,31-AUG-2022,29-AUG-2022,,,0,,,4,1163668,"SOUTH PLAINS FINANCIAL, INC.",SPFI,,0001163668,SPFI,,,2022-08-31
0001775195-22-000002,2049292,Common Stock,,249.0,,,I,,By 401(k),F4,31-AUG-2022,29-AUG-2022,,,0,,,4,1163668,"SOUTH PLAINS FINANCIAL, INC.",SPFI,,0001163668,SPFI,,,2022-08-31
0001775195-22-000002,2049291,Common Stock,,100242.0,,,I,,By ESOP,F3,31-AUG-2022,29-AUG-2022,,,0,,,4,1163668,"SOUTH PLAINS FINANCIAL, INC.",SPFI,,0001163668,SPFI,,,2022-08-31
0001775195-22-000002,2049295,Common Stock,,87000.0,,,I,,By RTW Trust,F7,31-AUG-2022,29-AUG-2022,,,0,,,4,1163668,"SOUTH PLAINS FINANCIAL, INC.",SPFI,,0001163668,SPFI,,,2022-08-31
0001775195-22-000002,2049299,Common Stock,,87000.0,,,I,,By JBG Trust,F11,31-AUG-2022,29-AUG-2022,,,0,,,4,1163668,"SOUTH PLAINS FINANCIAL, INC.",SPFI,,0001163668,SPFI,,,2022-08-31
0001520006-22-000198,2049149,Common Stock,,3760.0,,,I,,Represents shares held of record by the reporting person's Individual Retirement Account,,31-AUG-2022,30-AUG-2022,,,0,,,4,1520006,Matador Resources Co,MTDR,,0001520006,MTDR,,,2022-08-31
0001520006-22-000196,2049199,Common Stock,,28675.0,,,I,,Represents shares held of record by the reporting person's Individual Retirement Account,,31-AUG-2022,30-AUG-2022,,,0,,,4,1520006,Matador Resources Co,MTDR,,0001520006,MTDR,,,2022-08-31
0001891897-22-000004,2049164,Common Stock,,15700.0,,,D,,,,31-AUG-2022,30-AUG-2022,,,0,,,4,1844862,"Solid Power, Inc.",SLDP,,0001844862,SLDPW,,,2022-08-31
0000904454-22-000456,2049161,Common Stock,,42618.0,,,D,,,,31-AUG-2022,29-AUG-2022,,,0,,,4,1596993,DORIAN LPG LTD.,LPG,,0001596993,LPG,,,2022-08-31
0001500217-22-000103,2049260,"Common Stock, par value $0.01",,719341.0,,,I,,By RF,F4,31-AUG-2022,29-AUG-2022,,,0,,,4,1500217,"American Assets Trust, Inc.",AAT,,0001500217,AAT,,,2022-08-31
0001500217-22-000103,2049261,"Common Stock, par value $0.01",,200000.0,,,I,,By EIC,F5,31-AUG-2022,29-AUG-2022,,,0,,,4,1500217,"American Assets Trust, Inc.",AAT,,0001500217,AAT,,,2022-08-31
0001500217-22-000103,2049262,"Common Stock, par value $0.01",,100459.0,,,I,,By ESRT,F6,31-AUG-2022,29-AUG-2022,,,0,,,4,1500217,"American Assets Trust, Inc.",AAT,,0001500217,AAT,,,2022-08-31
0001500217-22-000103,2049263,"Common Stock, par value $0.01",,255339.0,,,D,F7,,,31-AUG-2022,29-AUG-2022,,,0,,,4,1500217,"American Assets Trust, Inc.",AAT,,0001500217,AAT,,,2022-08-31
0001500217-22-000103,2049258,"Common Stock, par value $0.01",,2189698.0,,,I,,By AAI,F2,31-AUG-2022,29-AUG-2022,,,0,,,4,1500217,"American Assets Trust, Inc.",AAT,,0001500217,AAT,,,2022-08-31
0001500217-22-000103,2049259,"Common Stock, par value $0.01",,1275336.0,,,I,,By ICW,F3,31-AUG-2022,29-AUG-2022,,,0,,,4,1500217,"American Assets Trust, Inc.",AAT,,0001500217,AAT,,,2022-08-31
0001805284-22-000190,2049216,Class A common stock,,204000.0,,,I,,By trust,F5,31-AUG-2022,29-AUG-2022,,,0,,,4,1805284,"Rocket Companies, Inc.",RKT,,0001805284,RKT,,,2022-08-31
0001438133-22-000199,2049234,Common Stock,,242.0,,,I,,Berger Family Trust,F2,31-AUG-2022,29-AUG-2022,,,0,,,4,1438133,TANDEM DIABETES CARE INC,TNDM,,0001438133,TNDM,,,2022-08-31
0001871509-22-000041,2049304,Class A common stock,,13969.0,F1,,D,,,,31-AUG-2022,29-AUG-2022,,0.0,,,,3,1871509,Portillo's Inc.,PTLO,Exhibit 24 - Power of Attorney (incorporated herein by reference).,0001871509,PTLO,,,2022-08-31
0000796343-22-000179,2049225,Common Stock,,667.0,,,I,,Trust,F2,31-AUG-2022,30-AUG-2022,,,0,,,4,796343,ADOBE INC.,ADBE,,0000796343,ADBE,,,2022-08-31
0001209191-22-048133,2049165,Common Stock,,52.32,F1,,I,,By 401(k) Plan,,31-AUG-2022,30-AUG-2022,,,0,,,4,703351,"BRINKER INTERNATIONAL, INC",EAT,,0000703351,EAT,,,2022-08-31
0001214659-22-010760,2049167,Common Stock,,1658916.0,,,I,,"By Ault & Company, Inc.",F4,31-AUG-2022,30-AUG-2022,,,,,,4,896493,"BitNile Holdings, Inc.",NILE,,0000896493,GPUS-PD,,,2022-08-31
0001214659-22-010760,2049168,Common Stock,,3408.0,,,I,,"By Philou Ventures, LLC",F5,31-AUG-2022,30-AUG-2022,,,,,,4,896493,"BitNile Holdings, Inc.",NILE,,0000896493,GPUS-PD,,,2022-08-31
0001214659-22-010760,2049166,13% Series D Cumulative Redeemable Perpetual Preferred Stock,,90033.0,,,I,,By Ault Alpha LP,F3,31-AUG-2022,30-AUG-2022,,,,,,4,896493,"BitNile Holdings, Inc.",NILE,,0000896493,GPUS-PD,,,2022-08-31
0001209191-22-048132,2049190,Common Stock,,1620.94,F1,,I,,By 401(k) Plan,,31-AUG-2022,30-AUG-2022,,,0,,,4,703351,"BRINKER INTERNATIONAL, INC",EAT,,0000703351,EAT,,,2022-08-31
0001599916-22-000237,2049290,Common Stock,,100000.0,,,D,,,,31-AUG-2022,29-AUG-2022,,,0,,,4,1874138,"Sparx Holdings Group, Inc.",PRTM,,0001874138,SHGI,,,2022-08-31
0001562180-22-006381,2049150,Class A Common Stock,,23920.0,,,I,,See footnote,F4,31-AUG-2022,29-AUG-2022,,,false,,,4,1517375,"Sprout Social, Inc.",SPT,,0001517375,SPT,,,2022-08-31
0001209191-22-048130,2049267,Class B Common Stock,,6500.0,,,I,,By IRA for Diana Arends,,31-AUG-2022,30-AUG-2022,,,0,,,4,1224133,MARCHEX INC,MCHX,,0001224133,MCHX,,,2022-08-31
0001209191-22-048130,2049266,Class B Common Stock,,18100.0,,,I,,By IRA,,31-AUG-2022,30-AUG-2022,,,0,,,4,1224133,MARCHEX INC,MCHX,,0001224133,MCHX,,,2022-08-31
0001225208-22-009864,2049302,Common Stock,,4509.0,,,I,,By Issuer's 401(k) Plan Trustee,,31-AUG-2022,29-AUG-2022,,,,,,4,21665,COLGATE PALMOLIVE CO,CL,,0000021665,CL,,,2022-08-31
0001225208-22-009864,2049303,Common Stock,,20570.0,F4,,I,,By Trust,,31-AUG-2022,29-AUG-2022,,,,,,4,21665,COLGATE PALMOLIVE CO,CL,,0000021665,CL,,,2022-08-31
0001209191-22-048126,2049254,"Common Stock, par value $0.01 per share",,96500.0,,,D,,,,31-AUG-2022,30-AUG-2022,,,0,,,4,894405,ARCBEST CORP /DE/,ARCB,,0000894405,ARCB,,,2022-08-31
0000899243-22-030120,2049202,Voting Common Stock,,120000.0,,,I,,By: GRAT,F5,31-AUG-2022,29-AUG-2022,,,0,,,4,1580560,Flywire Corp,FLYW,,0001580560,FLYW,,,2022-08-31
0000899243-22-030120,2049201,Voting Common Stock,,300000.0,,,I,,See footnote,F4,31-AUG-2022,29-AUG-2022,,,0,,,4,1580560,Flywire Corp,FLYW,,0001580560,FLYW,,,2022-08-31
0001590976-22-000054,2049186,Class A Common Stock,,14139.0,F5,,I,,See footnote,,31-AUG-2022,29-AUG-2022,,,0,,,4,1590976,"MALIBU BOATS, INC.",MBUU,,0001590976,MBUU,,,2022-08-31
0000905729-22-000184,2049151,Common Stock,,6576.0,,,D,,,,31-AUG-2022,24-AUG-2022,,0.0,,,,3,877422,SpartanNash Co,SPTN,,0000877422,SPTN,,,2022-08-31
0001096906-22-002071,2049289,Common Stock,,19800000.0,,,D,,,,31-AUG-2022,19-MAR-2020,,0.0,,,,3,1514946,"AXIM BIOTECHNOLOGIES, INC.",AXIM,,0001514946,AXIM,,,2022-08-31
0001096906-22-002067,2049253,Common Stock,,19800000.0,,,D,,,,31-AUG-2022,19-MAR-2020,,0.0,,,,3,1514946,"AXIM BIOTECHNOLOGIES, INC.",AXIM,,0001514946,AXIM,,,2022-08-31
0001156375-22-000219,2049230,Common Stock Class A,,2100.0,,,I,,by Trust,,31-AUG-2022,31-AUG-2022,,,0,,,4,1156375,CME GROUP INC.,CME,,0001156375,CME,,,2022-08-31
0001062993-22-018925,2049301,Common Stock,,150000.0,,,I,,By Trust,F8,31-AUG-2022,29-AUG-2022,,,,,,4,1289419,"Morningstar, Inc.",MORN,,0001289419,MORN,,,2022-08-31
0001062993-22-018925,2049300,Common Stock,,4500000.0,,,I,,By Trust,F7,31-AUG-2022,29-AUG-2022,,,,,,4,1289419,"Morningstar, Inc.",MORN,,0001289419,MORN,,,2022-08-31
0001381668-22-000106,2049246,Common Stock,,217246.0,,,D,,Trust Beneficiary,,31-AUG-2022,25-JUL-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000106,2049247,Common Stock,,55121.0,,,I,,By Spouse,,31-AUG-2022,25-JUL-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000106,2049248,Common Stock,,10500.0,,,I,,By 401(k),F3,31-AUG-2022,25-JUL-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000106,2049249,Common Stock,,101405.0,,,I,,BY ESOP,F3,31-AUG-2022,25-JUL-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000106,2049250,Common Stock,,9517.0,,,I,,Trustee for daughter's trust,,31-AUG-2022,25-JUL-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000106,2049251,Common Stock,,16200.0,,,I,,POA on siblings IRA,,31-AUG-2022,25-JUL-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000106,2049252,Common Stock,,7200.0,,,I,,,,31-AUG-2022,25-JUL-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000105,2049276,Common Stock,,7200.0,,,I,,,,31-AUG-2022,29-AUG-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000105,2049271,Common Stock,,55121.0,,,I,,By Spouse,,31-AUG-2022,29-AUG-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000105,2049272,Common Stock,,10500.0,,,I,,By 401(k),F2,31-AUG-2022,29-AUG-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000105,2049273,Common Stock,,101405.0,,,I,,BY ESOP,F2,31-AUG-2022,29-AUG-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000105,2049274,Common Stock,,9517.0,,,I,,Trustee for daughter's trust,,31-AUG-2022,29-AUG-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000105,2049275,Common Stock,,16200.0,,,I,,POA on siblings IRA,,31-AUG-2022,29-AUG-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001381668-22-000105,2049270,Common Stock,,217246.0,,,D,,Trust Beneficiary,,31-AUG-2022,29-AUG-2022,,,0,,,4,1381668,TFS Financial CORP,TFSL,,0001381668,TFSL,,,2022-08-31
0001072613-22-000537,2049169,Common Stock,,424500.0,F1,,I,,By Petroleum Independent & Exploration LLC,,31-AUG-2022,29-JUN-2022,01-JUL-2022,,0,,,4/A,887396,EMPIRE PETROLEUM CORP,EP,,0000887396,EP,,,2022-08-31
0001072613-22-000537,2049170,Common Stock,,378750.0,F1,,I,,By Big Red Revocable Trust,,31-AUG-2022,29-JUN-2022,01-JUL-2022,,0,,,4/A,887396,EMPIRE PETROLEUM CORP,EP,,0000887396,EP,,,2022-08-31
0001072613-22-000537,2049171,Common Stock,,30000.0,F1,,I,,By spouse,,31-AUG-2022,29-JUN-2022,01-JUL-2022,,0,,,4/A,887396,EMPIRE PETROLEUM CORP,EP,,0000887396,EP,,,2022-08-31
0001943952-22-000002,2049191,Series A Common Stock,,133169.0,,,D,,Amanda Henderson Roth IRA,,31-AUG-2022,31-AUG-2022,,0.0,,,,3,1606745,"Liberty TripAdvisor Holdings, Inc.",LTRPA,,0001606745,,,,2022-08-31
0001943952-22-000002,2049192,Series A Common Stock,,24169.0,,,I,,Amanda Henderson IRA,,31-AUG-2022,31-AUG-2022,,0.0,,,,3,1606745,"Liberty TripAdvisor Holdings, Inc.",LTRPA,,0001606745,,,,2022-08-31
0001943952-22-000002,2049193,Series A Common Stock,,2269.0,,,I,,,,31-AUG-2022,31-AUG-2022,,0.0,,,,3,1606745,"Liberty TripAdvisor Holdings, Inc.",LTRPA,,0001606745,,,,2022-08-31
0000950103-22-014911,2049224,Common Stock,,4500387.0,,,I,,"By: Silver Spike Capital, LLC",F3,31-AUG-2022,29-AUG-2022,,,0,,,4,1843162,Silver Spike Investment Corp.,SSIC,"4. Gregory Gentile is signing on behalf of Scott Gordon pursuant to the power of attorney dated July 21, 2021, which was previously filed with the Securities and Exchange Commission as an exhibit to the Form 3 Mr. Gordon filed on February 3, 2022.",0001843162,LIEN,,,2022-08-31
0000950103-22-014910,2049181,Common Stock,,4500387.0,,,I,,"By: Silver Spike Capital, LLC",F3,31-AUG-2022,29-AUG-2022,,,0,,,4,1843162,Silver Spike Investment Corp.,SSIC,,0001843162,LIEN,,,2022-08-31
0001209191-22-048088,2049195,"Common Stock, $0.0001 par value per share",,43728.0,,,I,,By Hosey Family Trust,F2,31-AUG-2022,29-AUG-2022,,,0,,,4,1041803,PRICESMART INC,PSMT,,0001041803,PSMT,,,2022-08-31
0001209191-22-048088,2049197,"Common Stock, $0.0001 par value per share",,1000.0,,,I,,By son,F3,31-AUG-2022,29-AUG-2022,,,0,,,4,1041803,PRICESMART INC,PSMT,,0001041803,PSMT,,,2022-08-31
0001209191-22-048088,2049196,"Common Stock, $0.0001 par value per share",,1000.0,,,I,,By son,F3,31-AUG-2022,29-AUG-2022,,,0,,,4,1041803,PRICESMART INC,PSMT,,0001041803,PSMT,,,2022-08-31
0001567619-22-016867,2049257,Common Stock,,12600.0,,,I,,,,31-AUG-2022,30-AUG-2022,,,0,,,4,1531031,"Esquire Financial Holdings, Inc.",ESQ,,0001531031,ESQ,,,2022-08-31
0001567619-22-016867,2049255,Common Stock,,183033.0,"F1, F3, F2",,D,,As trustee for trust,,31-AUG-2022,30-AUG-2022,,,0,,,4,1531031,"Esquire Financial Holdings, Inc.",ESQ,,0001531031,ESQ,,,2022-08-31
0001567619-22-016867,2049256,Common Stock,,25500.0,,,I,,By L.P.,,31-AUG-2022,30-AUG-2022,,,0,,,4,1531031,"Esquire Financial Holdings, Inc.",ESQ,,0001531031,ESQ,,,2022-08-31
0001944820-22-000001,2049244,Common Shares,,250000.0,,,D,,,,31-AUG-2022,18-AUG-2022,,0.0,,,,3,1346022,Enertopia Corp.,ENRT,,0001346022,ENRT,,,2022-08-31
0001567619-22-016865,2049147,Common Stock,,750000.0,,,D,,Klutch Financial Corp.,,31-AUG-2022,29-AUG-2022,,,0,,,4,1532390,ALKALINE WATER Co INC,WTER,,0001532390,WTER,,,2022-08-31
0001567619-22-016865,2049148,Common Stock,,1000000.0,,,I,,,,31-AUG-2022,29-AUG-2022,,,0,,,4,1532390,ALKALINE WATER Co INC,WTER,,0001532390,WTER,,,2022-08-31
0001207097-22-000337,2049152,Common Stock,,45.0,"F1, F2",,I,,Spouse,,31-AUG-2022,30-AUG-2022,,,0,,,4,919567,"RENN Fund, Inc.",RCG,,0000919567,RCG,,,2022-08-31
0001628280-22-024014,2049189,Common Stock,,199268.0,,,D,,,,31-AUG-2022,29-AUG-2022,,0.0,,,,3,45876,HARSCO CORP,HSC,,0000045876,NVRI,,,2022-08-31
0001207097-22-000336,2049219,Common Stock,,1472.0,F1,,I,,HORIZON KINETICS HARD ASSETS II LLC,,31-AUG-2022,30-AUG-2022,,,0,,,4,1811074,Texas Pacific Land Corp,TPL,,0001811074,TPL,,,2022-08-31
0001207097-22-000336,2049220,Common Stock,,2484.0,F1,,I,,CDK PARTNERS LP,,31-AUG-2022,30-AUG-2022,,,0,,,4,1811074,Texas Pacific Land Corp,TPL,,0001811074,TPL,,,2022-08-31
0001207097-22-000336,2049221,Common Stock,,5549.0,F1,,I,,CDK FUND LTD,,31-AUG-2022,30-AUG-2022,,,0,,,4,1811074,Texas Pacific Land Corp,TPL,,0001811074,TPL,,,2022-08-31
0001207097-22-000336,2049222,Common Stock,,60.0,F1,,I,,SPOUSE,,31-AUG-2022,30-AUG-2022,,,0,,,4,1811074,Texas Pacific Land Corp,TPL,,0001811074,TPL,,,2022-08-31
0001567619-22-016862,2049269,Panhandle Class A Common,,,,,D,,,,31-AUG-2022,01-JUL-2022,10-SEP-2020,0.0,,,,3/A,315131,PHX MINERALS INC.,PHX,"1. Robert A. Hefner III is a Manager of GHK Royalty LLC. GHK Royalty LLC is the direct beneficiary owner of the 3,500,000 shares. Robert A. Hefner III is the indirect beneficial owner of the 3,500,000 shares, as he owns 100% of GHK Royalty LLC. 2. These securities are owned directly by Robert A. Hefner III.",0000315131,,,,2022-08-31
0001567619-22-016862,2049268,Panhandle Class A Common,,177795.0,,3500000.0,D,,,,31-AUG-2022,01-JUL-2022,10-SEP-2020,0.0,,,,3/A,315131,PHX MINERALS INC.,PHX,"1. Robert A. Hefner III is a Manager of GHK Royalty LLC. GHK Royalty LLC is the direct beneficiary owner of the 3,500,000 shares. Robert A. Hefner III is the indirect beneficial owner of the 3,500,000 shares, as he owns 100% of GHK Royalty LLC. 2. These securities are owned directly by Robert A. Hefner III.",0000315131,,,,2022-08-31
0001225208-22-009863,2049231,"Common Shares (""Shares of Beneficial Interest"")",,20000.0,,,D,,,,31-AUG-2022,29-AUG-2022,,,,,,4,275694,BARINGS CORPORATE INVESTORS,MCI,,0000275694,MCI,,,2022-08-31
0001493152-22-024459,2049187,Common Stock,,4395829.0,,,I,,"Reliance Global Holdings, LLC",F1,31-AUG-2022,30-AUG-2022,,,0,,,4,1812727,"Reliance Global Group, Inc.",RELI,,0001812727,RELIW,,,2022-08-31
0001493152-22-024457,2049284,Common Stock,,1960.0,,,I,,,,31-AUG-2022,11-AUG-2022,,,0,,,4,1559998,"Gaucho Group Holdings, Inc.",VINO,,0001559998,,,,2022-08-31
0001493152-22-024457,2049283,Common Stock,,126876.0,,,D,,See footnote,F1,31-AUG-2022,11-AUG-2022,,,0,,,4,1559998,"Gaucho Group Holdings, Inc.",VINO,,0001559998,,,,2022-08-31
0001209191-22-048084,2049177,Common Stock,,8314.0,,,I,,,,31-AUG-2022,29-AUG-2022,,,0,,,4,1041803,PRICESMART INC,PSMT,"The reporting person's wife, Allison Price, may also be deemed a greater than 10% beneficial owner of the Issuer's securities in her capacity as co-trustee of each of the trusts identified herein.  As such, this Form 4 filing shall be deemed to constitute a Form 4 filing on behalf of both the reporting person and his wife, Allison Price.",0001041803,PSMT,,,2022-08-31
0001209191-22-048084,2049176,Common Stock,,45000.0,,,I,,As managing member of RARSD LLC,F9,31-AUG-2022,29-AUG-2022,,,0,,,4,1041803,PRICESMART INC,PSMT,"The reporting person's wife, Allison Price, may also be deemed a greater than 10% beneficial owner of the Issuer's securities in her capacity as co-trustee of each of the trusts identified herein.  As such, this Form 4 filing shall be deemed to constitute a Form 4 filing on behalf of both the reporting person and his wife, Allison Price.",0001041803,PSMT,,,2022-08-31
