ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,TRANS_FORM_TYPE,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,VALU_OWND_FOLWNG_TRANS_FN,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN,FILING_DATE,PERIOD_OF_REPORT,DATE_OF_ORIG_SUB,NO_SECURITIES_OWNED,NOT_SUBJECT_SEC16,FORM3_HOLDINGS_REPORTED,FORM4_TRANS_REPORTED,DOCUMENT_TYPE,ISSUERCIK,ISSUERNAME,ISSUERTRADINGSYMBOL,REMARKS,cik,ticker,sector,industry,filed_date
0001437749-19-024474,130209,Common Stock,,,318262.0,,,,I,,As Trustee of The Moric Bistricer 2012 Family Trust,,16-DEC-2019,12-DEC-2019,,,,,,4,1649096,Clipper Realty Inc.,CLPR,,0001649096,CLPR,,,2019-12-16
0001179110-19-012802,118250,Common Stock,,,17182.0,,,,I,,"The Britton, LLC",,16-DEC-2019,16-DEC-2019,,,0,,,4,908315,WINMARK CORP,WINA,,0000908315,WINA,,,2019-12-16
0001209191-19-060628,213907,Fixed/Floating Rate Non-Cum Perpetual Preferred Stock Ser D,,,2000.0,,,,D,,,,16-DEC-2019,12-DEC-2019,,,0,,,4,18349,SYNOVUS FINANCIAL CORP,SNV,,0000018349,SNV-PE,,,2019-12-16
0001209191-19-060627,134889,Common Stock,,,15166858.0,,,,D,,Trust,F3,16-DEC-2019,12-DEC-2019,,,0,,,4,1414932,Oaktree Specialty Lending Corp,OCSL,,0001414932,OCSL,,,2019-12-16
0001209191-19-060627,134890,Common Stock,,,754316.0,,,,I,,,,16-DEC-2019,12-DEC-2019,,,0,,,4,1414932,Oaktree Specialty Lending Corp,OCSL,,0001414932,OCSL,,,2019-12-16
0001179110-19-012798,230431,Common Stock,,,2500.0,,,,D,,,,16-DEC-2019,16-DEC-2019,,,0,,,4,908315,WINMARK CORP,WINA,,0000908315,WINA,,,2019-12-16
0001567619-19-023128,210855,Common Stock,,,12655.0,,,,I,,By Spouse's IRA,,16-DEC-2019,10-DEC-2019,,,0,,,4,1145255,HENNESSY ADVISORS INC,HNNA,,0001145255,HNNAZ,,,2019-12-16
0001179110-19-012796,220090,Common Stock,,,24863.0,,,,D,,,,16-DEC-2019,16-DEC-2019,,,0,,,4,908315,WINMARK CORP,WINA,,0000908315,WINA,,,2019-12-16
0000919574-19-007694,123427,"Class A Common Stock, par value $0.0000001 per share",,,2136404.0,,,,I,,See Footnote,F2,16-DEC-2019,12-DEC-2019,,,1,,,4,1058623,CUMULUS MEDIA INC,CMIA,,0001058623,CMLS,,,2019-12-16
0001209191-19-060626,178993,Class A Common Stock,,,107872.0,,,,I,,By the John E. Klein Family 2012 Irrevocable Trust,,16-DEC-2019,12-DEC-2019,,,0,,,4,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,,0001058290,CTSH,,,2019-12-16
0001179110-19-012789,256546,Common Stock,,,7475.0,,,,D,,,,16-DEC-2019,16-DEC-2019,,,0,,,4,908315,WINMARK CORP,WINA,,0000908315,WINA,,,2019-12-16
0001179110-19-012787,271078,Common Stock,,,125400.0,,,,D,,By Son,,16-DEC-2019,16-DEC-2019,,,0,,,4,908315,WINMARK CORP,WINA,,0000908315,WINA,,,2019-12-16
0001179110-19-012787,271079,Common Stock,,,1300.0,,,,I,,,,16-DEC-2019,16-DEC-2019,,,0,,,4,908315,WINMARK CORP,WINA,,0000908315,WINA,,,2019-12-16
0000315189-19-000036,151129,$1 Par Common Stock,,,2567.0,,,,I,,By Trust,,16-DEC-2019,14-DEC-2019,,,0,,,4,315189,DEERE & CO,DE,,0000315189,DE,,,2019-12-16
0001567619-19-023126,267997,Common Stock,,,13728.06,,,,I,,By ESOP,,16-DEC-2019,12-DEC-2019,,,0,,,4,811808,SUMMIT FINANCIAL GROUP INC,SMMF,,0000811808,,,,2019-12-16
0001567619-19-023126,267996,Common Stock,,,740.0,,,,I,,by Spouse,,16-DEC-2019,12-DEC-2019,,,0,,,4,811808,SUMMIT FINANCIAL GROUP INC,SMMF,,0000811808,,,,2019-12-16
0001179110-19-012785,211912,Common Stock,,,10075.0,,,,D,,,,16-DEC-2019,16-DEC-2019,,,0,,,4,908315,WINMARK CORP,WINA,,0000908315,WINA,,,2019-12-16
0000705432-19-000160,129943,Common Stock,,,1010.0,F4,,,I,,ESOP,,16-DEC-2019,12-DEC-2019,,,0,,,4,705432,SOUTHSIDE BANCSHARES INC,SBSI,,0000705432,SBSI,,,2019-12-16
0000705432-19-000160,129942,Common Stock,,,2290.0,F3,,,I,,401K,,16-DEC-2019,12-DEC-2019,,,0,,,4,705432,SOUTHSIDE BANCSHARES INC,SBSI,,0000705432,SBSI,,,2019-12-16
0001209191-19-060623,138513,Class A Common Stock,,,800.0,,,,I,,By Parent's Estate,F4,16-DEC-2019,12-DEC-2019,,,0,,,4,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,,0001058290,CTSH,,,2019-12-16
0001795156-19-000001,160925,Common Stock,,3.0,0.0,,,,D,,,,16-DEC-2019,31-JUL-2019,,,0,1.0,0.0,5,1440153,"Bakhu Holdings, Corp.",BKUH,,0001440153,,,,2019-12-16
0000046619-19-000090,229955,Common Stock,,,7605.0,,,,I,,By 401(k),F1,16-DEC-2019,13-DEC-2019,,,0,,,4,46619,HEICO CORP,"HEI, HEI.A",,0000046619,HEI-A,,,2019-12-16
0000046619-19-000090,229954,Class A Common Stock,,,2062.0,,,,D,,By 401(k),F1,16-DEC-2019,13-DEC-2019,,,0,,,4,46619,HEICO CORP,"HEI, HEI.A",,0000046619,HEI-A,,,2019-12-16
0000046619-19-000090,229956,Class A Common Stock,,,6820.0,,,,I,,,,16-DEC-2019,13-DEC-2019,,,0,,,4,46619,HEICO CORP,"HEI, HEI.A",,0000046619,HEI-A,,,2019-12-16
0001179110-19-012783,151271,Common Stock,,,14358.0,,,,D,,,,16-DEC-2019,15-DEC-2019,,,0,,,4,926326,"OMNICELL, Inc",OMCL,,0000926326,OMCL,,,2019-12-16
0001179110-19-012782,155114,Common Stock,,,24990.0,,,,D,,,,16-DEC-2019,15-DEC-2019,,,0,,,4,926326,"OMNICELL, Inc",OMCL,,0000926326,OMCL,,,2019-12-16
0001179110-19-012781,220454,Common Stock,,,7776.0,,,,I,,,,16-DEC-2019,15-DEC-2019,,,0,,,4,926326,"OMNICELL, Inc",OMCL,,0000926326,OMCL,,,2019-12-16
0001179110-19-012781,220452,Common Stock,,,128487.0,,,,D,,In Trust with Wife,F1,16-DEC-2019,15-DEC-2019,,,0,,,4,926326,"OMNICELL, Inc",OMCL,,0000926326,OMCL,,,2019-12-16
0001179110-19-012781,220453,Common Stock,,,289409.0,,,,I,,In Trust for Children,F2,16-DEC-2019,15-DEC-2019,,,0,,,4,926326,"OMNICELL, Inc",OMCL,,0000926326,OMCL,,,2019-12-16
0001179110-19-012780,258666,Common Stock,,,26333.0,,,,D,,,,16-DEC-2019,15-DEC-2019,,,0,,,4,926326,"OMNICELL, Inc",OMCL,,0000926326,OMCL,,,2019-12-16
0001179110-19-012779,116409,Common Stock,,,30321.0,,,,D,,,,16-DEC-2019,15-DEC-2019,,,0,,,4,926326,"OMNICELL, Inc",OMCL,,0000926326,OMCL,,,2019-12-16
0000315189-19-000032,134749,$1 Par Common Stock,,,47203.0,,,,I,,By LLC,,16-DEC-2019,14-DEC-2019,,,0,,,4,315189,DEERE & CO,DE,,0000315189,DE,,,2019-12-16
0001179110-19-012778,203993,Common Stock,,,54715.0,,,,D,,,,16-DEC-2019,15-DEC-2019,,,0,,,4,926326,"OMNICELL, Inc",OMCL,,0000926326,OMCL,,,2019-12-16
0001104659-19-072973,191618,Common Stock,,,14093.85,,,,I,,By 401(k) Plan,,16-DEC-2019,13-DEC-2019,,,0,,,4,1120370,"BROADWIND ENERGY, INC.",BWEN,,0001120370,BWEN,,,2019-12-16
0001104659-19-072972,247215,Common Stock,,,14738.43,,,,I,,By 401(k) Plan,,16-DEC-2019,12-DEC-2019,,,0,,,4,1120370,"BROADWIND ENERGY, INC.",BWEN,,0001120370,BWEN,,,2019-12-16
0000097216-19-000253,176107,"Common Stock, par value $.01",,,2007.0,,,,I,,401(k) plan,,16-DEC-2019,12-DEC-2019,,,1,,,4,97216,TEREX CORP,TEX,,0000097216,TEX,,,2019-12-16
0001209191-19-060610,173968,Limited Partnership Units,,,6521.0,,,,I,,By JHD Trust,F7,16-DEC-2019,12-DEC-2019,,,0,,,4,784011,POPE RESOURCES LTD PARTNERSHIP,POPE,,0000784011,,,,2019-12-16
0001209191-19-060610,173969,Limited Partnership Units,,,170.0,,,,I,,TD IRA,F8,16-DEC-2019,12-DEC-2019,,,0,,,4,784011,POPE RESOURCES LTD PARTNERSHIP,POPE,,0000784011,,,,2019-12-16
0001209191-19-060610,173971,Limited Partnership Units,,,147652.0,,,,D,,By JHD Trust FBO KWD,F10,16-DEC-2019,12-DEC-2019,,,0,,,4,784011,POPE RESOURCES LTD PARTNERSHIP,POPE,,0000784011,,,,2019-12-16
0001209191-19-060610,173972,Limited Partnership Units,,,102842.0,,,,I,,By JHD Trust FBO JAD,F11,16-DEC-2019,12-DEC-2019,,,0,,,4,784011,POPE RESOURCES LTD PARTNERSHIP,POPE,,0000784011,,,,2019-12-16
0001209191-19-060610,173973,Limited Partnership Units,,,21879.0,,,,I,,,,16-DEC-2019,12-DEC-2019,,,0,,,4,784011,POPE RESOURCES LTD PARTNERSHIP,POPE,,0000784011,,,,2019-12-16
0001209191-19-060610,173967,Limited Partnership Units,,,188648.0,,,,I,,By IRA Accounts,F6,16-DEC-2019,12-DEC-2019,,,0,,,4,784011,POPE RESOURCES LTD PARTNERSHIP,POPE,,0000784011,,,,2019-12-16
0001209191-19-060610,173966,Limited Partnership Units,,,28911.0,,,,I,,By KMD Trust,F5,16-DEC-2019,12-DEC-2019,,,0,,,4,784011,POPE RESOURCES LTD PARTNERSHIP,POPE,,0000784011,,,,2019-12-16
0001209191-19-060610,173965,Limited Partnership Units,,,2836.0,,,,I,,By JHD Traditional IRA,F4,16-DEC-2019,12-DEC-2019,,,0,,,4,784011,POPE RESOURCES LTD PARTNERSHIP,POPE,,0000784011,,,,2019-12-16
0001209191-19-060610,173970,Limited Partnership Units,,,600.0,,,,I,,WD IRAs,F9,16-DEC-2019,12-DEC-2019,,,0,,,4,784011,POPE RESOURCES LTD PARTNERSHIP,POPE,,0000784011,,,,2019-12-16
0000097216-19-000252,187271,"Common Stock, par value $.01",,,67.0,,,,I,,Family Trust,,16-DEC-2019,12-DEC-2019,,,0,,,4,97216,TEREX CORP,TEX,,0000097216,TEX,,,2019-12-16
0000097216-19-000252,187272,"Common Stock, par value $.01",,,3265.0,,,,I,,401(k) plan,,16-DEC-2019,12-DEC-2019,,,0,,,4,97216,TEREX CORP,TEX,,0000097216,TEX,,,2019-12-16
0000097216-19-000251,187629,"Common Stock, par value $.01",,,6111.0,,,,I,,401(k) plan,,16-DEC-2019,12-DEC-2019,,,1,,,4,97216,TEREX CORP,TEX,,0000097216,TEX,,,2019-12-16
0000097216-19-000250,206606,"Common Stock, $.01 par value",,,4251.0,,,,I,,401(k) plan,,16-DEC-2019,12-DEC-2019,,,0,,,4,97216,TEREX CORP,TEX,,0000097216,TEX,,,2019-12-16
0000097216-19-000249,265905,"Common Stock, par value $.01",,,2318.0,,,,I,,401(k) plan,,16-DEC-2019,12-DEC-2019,,,1,,,4,97216,TEREX CORP,TEX,,0000097216,TEX,,,2019-12-16
0001104659-19-072963,247685,"Common Stock, par value $0.01 per share",,,853619.0,"F2, F3, F1",,,I,,"Fundamental Global Holdings, LP",,16-DEC-2019,12-DEC-2019,,,0,,,4,946454,"BALLANTYNE STRONG, INC.",BTN,,0000946454,,,,2019-12-16
0001104659-19-072963,247686,"Common Stock, par value $0.01 per share",,,65739.0,"F2, F3, F1",,,I,,"FGI Global Asset Allocation Master Fund, LP",,16-DEC-2019,12-DEC-2019,,,0,,,4,946454,"BALLANTYNE STRONG, INC.",BTN,,0000946454,,,,2019-12-16
0001104659-19-072963,247687,"Common Stock, par value $0.01 per share",,,34911.0,"F2, F3, F1",,,I,,"FGI Global Asset Allocation Fund, Ltd.",,16-DEC-2019,12-DEC-2019,,,0,,,4,946454,"BALLANTYNE STRONG, INC.",BTN,,0000946454,,,,2019-12-16
0001732845-19-000130,177703,Common Stock,,,21366.0,,,,D,,,,16-DEC-2019,12-DEC-2019,,,,,,4,1732845,WestRock Co,WRK,,0001732845,,,,2019-12-16
0001692276-19-000012,268628,Common Stock,,,1149377.0,,,,I,F1,By Koski Family Limited Partnership,,16-DEC-2019,12-DEC-2019,,,0,,,4,1024795,"HELIOS TECHNOLOGIES, INC.",HLIO,,0001024795,HLIO,,,2019-12-16
0001127602-19-034994,263161,Common Stock,,,70000.0,,,,I,,Via Grantor Retained Annuity Trust,,16-DEC-2019,13-DEC-2019,,,,,,4,821189,EOG RESOURCES INC,EOG,,0000821189,EOG,,,2019-12-16
0001127602-19-034994,263160,Common Stock,,,100000.0,,,,I,,Via Grantor Retained Annuity Trust,,16-DEC-2019,13-DEC-2019,,,,,,4,821189,EOG RESOURCES INC,EOG,,0000821189,EOG,,,2019-12-16
0001567619-19-023116,200930,Common Stock,,,4491.0,,,,I,,BY IRA,F1,16-DEC-2019,12-DEC-2019,,,0,,,4,866368,PS BUSINESS PARKS INC/CA,PSB,,0000866368,,,,2019-12-16
0000049071-19-000129,142615,Humana Common,,,194.0,,,,I,,See Footnote,F1,16-DEC-2019,15-DEC-2019,,,,,,4,49071,HUMANA INC,HUM,,0000049071,HUM,,,2019-12-16
0001209191-19-060597,195815,PERFORMANCE SHARE UNIT (EPS) (2020),,,982.0,F2,,,D,,,,16-DEC-2019,03-SEP-2019,05-SEP-2019,,0,,,4/A,821026,"Andersons, Inc.",ANDE,,0000821026,ANDE,,,2019-12-16
0001209191-19-060597,195819,PERFORMANCE SHARE UNIT (TSR) (2021),,,1348.0,F3,,,D,,,,16-DEC-2019,03-SEP-2019,05-SEP-2019,,0,,,4/A,821026,"Andersons, Inc.",ANDE,,0000821026,ANDE,,,2019-12-16
0001209191-19-060597,195818,PERFORMANCE SHARE UNIT (TSR) (2020),,,984.0,F3,,,D,,,,16-DEC-2019,03-SEP-2019,05-SEP-2019,,0,,,4/A,821026,"Andersons, Inc.",ANDE,,0000821026,ANDE,,,2019-12-16
0001209191-19-060597,195817,PERFORMANCE SHARE UNIT (EPS) (2022),,,1338.0,F2,,,D,,,,16-DEC-2019,03-SEP-2019,05-SEP-2019,,0,,,4/A,821026,"Andersons, Inc.",ANDE,,0000821026,ANDE,,,2019-12-16
0001209191-19-060597,195820,PERFORMANCE SHARE UNIT (TSR) (2022),,,1338.0,F3,,,D,,,,16-DEC-2019,03-SEP-2019,05-SEP-2019,,0,,,4/A,821026,"Andersons, Inc.",ANDE,,0000821026,ANDE,,,2019-12-16
0001209191-19-060597,195816,PERFORMANCE SHARE UNIT (EPS) (2021),,,1348.0,F2,,,D,,,,16-DEC-2019,03-SEP-2019,05-SEP-2019,,0,,,4/A,821026,"Andersons, Inc.",ANDE,,0000821026,ANDE,,,2019-12-16
0001209191-19-060595,197844,PERFORMANCE SHARE UNIT (EPS) (2021),,,2594.0,F2,,,D,,,,16-DEC-2019,05-DEC-2019,09-DEC-2019,,0,,,4/A,821026,"Andersons, Inc.",ANDE,,0000821026,ANDE,,,2019-12-16
0001209191-19-060595,197845,PERFORMANCE SHARE UNIT (EPS) (2022),,,2502.0,F2,,,D,,,,16-DEC-2019,05-DEC-2019,09-DEC-2019,,0,,,4/A,821026,"Andersons, Inc.",ANDE,,0000821026,ANDE,,,2019-12-16
0001209191-19-060595,197846,PERFORMANCE SHARE UNIT (TSR) (2021),,,2594.0,F3,,,D,,,,16-DEC-2019,05-DEC-2019,09-DEC-2019,,0,,,4/A,821026,"Andersons, Inc.",ANDE,,0000821026,ANDE,,,2019-12-16
0001209191-19-060595,197847,PERFORMANCE SHARE UNIT (TSR) (2022),,,2502.0,F3,,,D,,,,16-DEC-2019,05-DEC-2019,09-DEC-2019,,0,,,4/A,821026,"Andersons, Inc.",ANDE,,0000821026,ANDE,,,2019-12-16
0001607062-19-000472,190383,Common Stock,,,17000000.0,,,,D,,,,16-DEC-2019,12-MAY-2016,,0.0,,,,3,1683131,"Genesys Industries, Inc.",GEIN,,0001683131,,,,2019-12-16
0001607062-19-000472,190384,Preferred Stock,,,10000000.0,,,,D,,,,16-DEC-2019,12-MAY-2016,,0.0,,,,3,1683131,"Genesys Industries, Inc.",GEIN,,0001683131,,,,2019-12-16
0001127602-19-034990,177566,Common Stock,,,3802.0,,,,I,,By the Chelsea Banks Craigie 2012 Trust,,16-DEC-2019,12-DEC-2019,,,,,,4,313927,CHURCH & DWIGHT CO INC /DE/,CHD,,0000313927,CHD,,,2019-12-16
0001127602-19-034990,177565,Common Stock,,,3802.0,,,,I,,By the Brian James Craigie 2012 Trust,,16-DEC-2019,12-DEC-2019,,,,,,4,313927,CHURCH & DWIGHT CO INC /DE/,CHD,,0000313927,CHD,,,2019-12-16
0001127602-19-034990,177567,Common Stock,,,14490.15,,,,I,,Prft Shring/saving Plan Trust,,16-DEC-2019,12-DEC-2019,,,,,,4,313927,CHURCH & DWIGHT CO INC /DE/,CHD,,0000313927,CHD,,,2019-12-16
0001127602-19-034990,177568,Common Stock,,,1840.0,,,,I,,Spouse,,16-DEC-2019,12-DEC-2019,,,,,,4,313927,CHURCH & DWIGHT CO INC /DE/,CHD,,0000313927,CHD,,,2019-12-16
0000833079-19-000132,200160,MTH Common Shares,,,23314.0,F2,,,D,,,,16-DEC-2019,11-DEC-2019,,,0,,,4,833079,Meritage Homes CORP,MTH,,0000833079,MTH,,,2019-12-16
0001127602-19-034988,131074,Common Stock,,,36.96,F1,,,I,,By Esop II Trust,,16-DEC-2019,11-DEC-2019,,,,,,4,94049,STEPAN CO,SCL,,0000094049,SCL,,,2019-12-16
0001225208-19-015830,211755,Voting Trust Receipt,,,18623.0,,,,D,,By Custodian For Children,,16-DEC-2019,31-OCT-2019,,,,0.0,1.0,5,350797,EATON VANCE CORP,EV,,0000350797,,,,2019-12-16
0001225208-19-015830,211757,Eaton Vance Corp. Common Stock (Voting),,,18623.0,F2,,,I,,,,16-DEC-2019,31-OCT-2019,,,,0.0,1.0,5,350797,EATON VANCE CORP,EV,,0000350797,,,,2019-12-16
0001225208-19-015830,211756,Eaton Vance Corp. Non-voting Common Stock,,,9080.0,,,,I,,By Voting Trust,,16-DEC-2019,31-OCT-2019,,,,0.0,1.0,5,350797,EATON VANCE CORP,EV,,0000350797,,,,2019-12-16
0001225208-19-015828,161861,Class A Common Stock,,,24227118.0,,,,I,,JWM Family Enterprises,,16-DEC-2019,13-DEC-2019,,,,,,4,1048286,MARRIOTT INTERNATIONAL INC /MD/,MAR,,0001048286,MAR,,,2019-12-16
0001564618-19-000120,253288,Common Stock,,,339.0,F1,,,I,,By 401(k) Plan,,16-DEC-2019,12-DEC-2019,,,0,,,4,1564618,"Independent Bank Group, Inc.",IBTX,,0001564618,,,,2019-12-16
0001562180-19-006092,121312,Common Stock,,,6242.0,,,,I,,By 401(k)/ESOP,,16-DEC-2019,12-DEC-2019,,,false,,,4,719739,SVB FINANCIAL GROUP,SIVB,"The transactions reported were effected pursuant to a Rule 10b5-1 trading plan entered into by the reporting person effective October 31, 2019.",0000719739,,,,2019-12-16
0001596783-19-000219,261885,Common Stock,,,16026.0,"F2, F1",,,D,,,,16-DEC-2019,30-OCT-2019,05-NOV-2019,0.0,,,,3/A,1596783,"Catalent, Inc.",CTLT,"This Form 3/A is filed solely to correct the number of shares of the Issuer's common stock reported on Table I of the Form 3 filed by the reporting person on November 5, 2019. The remainder of the Form 3, as amended by the Form 3/A filed on November 5, 2019, remains unchanged.",0001596783,,,,2019-12-16
0001127602-19-034981,222431,Class A Common Stock,,,1005.0,,,,I,,Proportionate interest in shares held by Rankin Associates V held in trust fbo reporting person,,16-DEC-2019,05-DEC-2019,,0.0,,,,3,1173514,"HYSTER-YALE MATERIALS HANDLING, INC.",HY,,0001173514,HY,,,2019-12-16
0001127602-19-034980,187216,Class A Common Stock,,,1005.0,,,,I,,Represents proportionate interest in shares held by Rankin Associates V,,16-DEC-2019,05-DEC-2019,,0.0,,,,3,1173514,"HYSTER-YALE MATERIALS HANDLING, INC.",HY,,0001173514,HY,,,2019-12-16
0001127602-19-034978,268195,Common Stock,,,2624.0,,,,I,,401)k) Plan,,16-DEC-2019,16-DEC-2019,,,,,,4,721994,LAKELAND FINANCIAL CORP,LKFN,,0000721994,LKFN,,,2019-12-16
0001567619-19-023107,185436,Common Stock,,,0.0,,,,D,,,,16-DEC-2019,13-DEC-2019,,0.0,,,,3,700841,RCM TECHNOLOGIES INC,RCMT,,0000700841,RCMT,,,2019-12-16
0000707179-19-000199,263938,COMMON STOCK,,,756.0,,,,D,F5,,,16-DEC-2019,13-DEC-2019,,,,,,4,707179,OLD NATIONAL BANCORP /IN/,ONB,,0000707179,ONBPP,,,2019-12-16
0000707179-19-000199,263937,COMMON STOCK,,,440.0,,,,I,F1,ONB KSOP,,16-DEC-2019,13-DEC-2019,,,,,,4,707179,OLD NATIONAL BANCORP /IN/,ONB,,0000707179,ONBPP,,,2019-12-16
0000707179-19-000199,263939,COMMON STOCK,,,43992.0,,,,D,F2,,,16-DEC-2019,13-DEC-2019,,,,,,4,707179,OLD NATIONAL BANCORP /IN/,ONB,,0000707179,ONBPP,,,2019-12-16
0000707179-19-000198,226641,COMMON STOCK,,,4626.0,,,,D,F2,,,16-DEC-2019,13-DEC-2019,,,,,,4,707179,OLD NATIONAL BANCORP /IN/,ONB,,0000707179,ONBPP,,,2019-12-16
0000707179-19-000198,226640,COMMON STOCK,,,2372.0,,,,D,F4,,,16-DEC-2019,13-DEC-2019,,,,,,4,707179,OLD NATIONAL BANCORP /IN/,ONB,,0000707179,ONBPP,,,2019-12-16
0000707179-19-000198,226639,COMMON STOCK,,,5818.0,,,,I,F1,ONB KSOP,,16-DEC-2019,13-DEC-2019,,,,,,4,707179,OLD NATIONAL BANCORP /IN/,ONB,,0000707179,ONBPP,,,2019-12-16
0000707179-19-000198,226642,COMMON STOCK,,,131399.0,,,,D,F3,,,16-DEC-2019,13-DEC-2019,,,,,,4,707179,OLD NATIONAL BANCORP /IN/,ONB,,0000707179,ONBPP,,,2019-12-16
0001209191-19-060555,160876,Class A Common Stock,,,34643.0,,,,D,,,,16-DEC-2019,13-DEC-2019,,,0,,,4,1099160,BEASLEY BROADCAST GROUP INC,BBGI,,0001099160,BBGI,,,2019-12-16
0001209191-19-060555,160875,Class A Common Stock,,,64219.0,,,,I,,See footnote.,F3,16-DEC-2019,13-DEC-2019,,,0,,,4,1099160,BEASLEY BROADCAST GROUP INC,BBGI,,0001099160,BBGI,,,2019-12-16
0001506307-19-000172,167193,Class P Common Stock,,,61479.0,,,,I,,By Spouse,F2,16-DEC-2019,13-DEC-2019,,,0,,,4,1506307,"KINDER MORGAN, INC.",KMI,,0001506307,EP-PC,,,2019-12-16
0001506307-19-000172,167194,Class P Common Stock,,,11812747.0,,,,I,,By Limited Partnership,F3,16-DEC-2019,13-DEC-2019,,,0,,,4,1506307,"KINDER MORGAN, INC.",KMI,,0001506307,EP-PC,,,2019-12-16
0001209191-19-060552,212830,Class A Common Stock,,,183582.0,,,,D,,,,16-DEC-2019,13-DEC-2019,,,0,,,4,1099160,BEASLEY BROADCAST GROUP INC,BBGI,,0001099160,BBGI,,,2019-12-16
0001209191-19-060550,254130,Class A Common Stock,,,223582.0,,,,D,,,,16-DEC-2019,13-DEC-2019,,,0,,,4,1099160,BEASLEY BROADCAST GROUP INC,BBGI,,0001099160,BBGI,,,2019-12-16
0001209191-19-060548,190608,Class A Common Stock,,,6096.0,,,,I,,See footnote.,F6,16-DEC-2019,13-DEC-2019,,,0,,,4,1099160,BEASLEY BROADCAST GROUP INC,BBGI,,0001099160,BBGI,,,2019-12-16
0001209191-19-060548,190607,Class A Common Stock,,,482.0,,,,I,,See footnote.,F5,16-DEC-2019,13-DEC-2019,,,0,,,4,1099160,BEASLEY BROADCAST GROUP INC,BBGI,,0001099160,BBGI,,,2019-12-16
0001209191-19-060548,190605,Class A Common Stock,,,47733.0,,,,I,,See footnote.,F3,16-DEC-2019,13-DEC-2019,,,0,,,4,1099160,BEASLEY BROADCAST GROUP INC,BBGI,,0001099160,BBGI,,,2019-12-16
0001209191-19-060548,190606,Class A Common Stock,,,160582.0,,,,I,,See footnote,F4,16-DEC-2019,13-DEC-2019,,,0,,,4,1099160,BEASLEY BROADCAST GROUP INC,BBGI,,0001099160,BBGI,,,2019-12-16
0001209191-19-060548,190604,Class A Common Stock,,,1071595.0,,,,I,,See footnote.,F2,16-DEC-2019,13-DEC-2019,,,0,,,4,1099160,BEASLEY BROADCAST GROUP INC,BBGI,,0001099160,BBGI,,,2019-12-16
0001567619-19-023100,194026,Common Stock,,,6610.0,F1,,,D,,By ESOP,,16-DEC-2019,12-DEC-2019,,,0,,,4,1716188,"SSB Bancorp, Inc.",SSBP,,0001716188,,,,2019-12-16
0001567619-19-023100,194027,Common Stock,,,346.0,,,,I,,,,16-DEC-2019,12-DEC-2019,,,0,,,4,1716188,"SSB Bancorp, Inc.",SSBP,,0001716188,,,,2019-12-16
0001638599-19-001041,207932,Common Stock,,,184434.0,,,,I,,By The Marion Faye Stallings Living Trust,,16-DEC-2019,16-DEC-2019,,,0,,,4,1263762,"SELECT BANCORP, INC.",SLCT,,0001263762,,,,2019-12-16
0001638599-19-001041,207930,Common Stock,,,2000.0,,,,I,,By Wife,,16-DEC-2019,16-DEC-2019,,,0,,,4,1263762,"SELECT BANCORP, INC.",SLCT,,0001263762,,,,2019-12-16
0001638599-19-001041,207929,Common Stock,,,24648.0,,,,I,,By self as trustee for Children,,16-DEC-2019,16-DEC-2019,,,0,,,4,1263762,"SELECT BANCORP, INC.",SLCT,,0001263762,,,,2019-12-16
0001638599-19-001041,207931,Common Stock,,,750186.0,,,,I,,By The Bill and Faye Stallings Family Trust II,,16-DEC-2019,16-DEC-2019,,,0,,,4,1263762,"SELECT BANCORP, INC.",SLCT,,0001263762,,,,2019-12-16
0001209191-19-060546,245817,capital stock,,,3026.0,,,,I,,by spouse,,16-DEC-2019,12-DEC-2019,,,0,,,4,19584,CHEMED CORP,CHE,,0000019584,CHE,,,2019-12-16
0001209191-19-060546,245816,capital stock,,,6058.0,,,,I,,by son,,16-DEC-2019,12-DEC-2019,,,0,,,4,19584,CHEMED CORP,CHE,,0000019584,CHE,,,2019-12-16
0001209191-19-060546,245818,capital stock,,,6070.0,,,,I,,by daughter,,16-DEC-2019,12-DEC-2019,,,0,,,4,19584,CHEMED CORP,CHE,,0000019584,CHE,,,2019-12-16
0001209191-19-060546,245819,capital stock,,,5900.0,,,,I,,by son,,16-DEC-2019,12-DEC-2019,,,0,,,4,19584,CHEMED CORP,CHE,,0000019584,CHE,,,2019-12-16
0001209191-19-060545,182683,Common Shares,,,48764.0,,,,I,,By Daughter's Trust,,16-DEC-2019,12-DEC-2019,,,0,,,4,896159,Chubb Ltd,CB,,0000896159,CB,,,2019-12-16
0001209191-19-060545,182682,Common Shares,,,48764.0,,,,I,,By Son's Trust,,16-DEC-2019,12-DEC-2019,,,0,,,4,896159,Chubb Ltd,CB,,0000896159,CB,,,2019-12-16
